company,fiscal_year,question_id,question_type,perturbation_type,perturbation_level,question,ground_truth,answer_prompt_tokens,answer_completion_tokens,answer_cost_usd,judge_prompt_tokens,judge_completion_tokens,judge_cost_usd,llm_answer,judge_score,judge_reason,judge_raw_output,answer_latency_ms,judge_latency_ms
ExxonMobil,2022,Q8,NR,none,0,"What is the company's carbon intensity (in TCO₂ per million USD) for FY2022? If not available, calculate it by dividing the total carbon emissions by the year's revenue.",Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
Bank of America,2023,Q4,LR,none,0,Does the company operate in a high emitting sector as of FY2023?,"Yes, the company operates in a high-emitting sector as of FY2023. It has set financed emissions targets for high-emitting industries such as auto manufacturing, aviation, cement, energy, power generation, iron and steel, and maritime shipping",,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
BP,2022,Q8,NR,none,0,"What is the company's carbon intensity (in TCO₂ per million USD) for FY2022? If not available, calculate it by dividing the total carbon emissions by the year's revenue.",Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
AT&T,2023,Q4,LR,none,0,Does the company operate in a high emitting sector as of FY2023?,Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
BASF,2022,Q8,NR,none,0,"What is the company's carbon intensity (in TCO₂ per million USD) for FY2022? If not available, calculate it by dividing the total carbon emissions by the year's revenue.",Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
Apple,2023,Q4,LR,none,0,Does the company operate in a high emitting sector as of FY2023?,Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
Bank of America,2023,Q8,NR,none,0,"What is the company's carbon intensity (in TCO₂ per million USD) for FY2023? If not available, calculate it by dividing the total carbon emissions by the year's revenue.",Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
BASF,2022,Q10,LR,none,0,"Does the company disclose a Transition Plan for FY2022? If yes, highlight its main characteristics.","BASF does not explicitly disclose a formal ""Transition Plan"" for FY2022 in a structured format. However, the company has outlined several key climate-related targets and strategies that align with a transition towards lower carbon emissions.",,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
AT&T,2023,Q8,NR,none,0,"What is the company's carbon intensity (in TCO₂ per million USD) for FY2023? If not available, calculate it by dividing the total carbon emissions by the year's revenue.",Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
Baoshan Iron & Steel,2018,Q1,LR,none,0,"According to the company's Disclosure from FY2018, which topics have been assessed to be material?","The company has assessed the following topics to be material as of FY2018:

Environmental management and emission reduction
Energy efficiency and resource utilization
Product quality and customer satisfaction
Employee health, safety, and development
Business ethics and corporate governance
Community engagement and social responsibility",,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
General Electric,2021,Q2,PE,none,0,What drove carbon intensity change as of the FY2021 for the company?,"General Electric's carbon intensity in the FY2021 has decreased compared to the 2010 baseline. The key factors behind this change are:
- More fuel efficient commercial engine products certified
- Fewer part counts and optimized part designs from additive manufacturing
- More heat-resistant ceramic matrix composites 
- All GE and joint venture engines can operate on approved Sustainable Aviation Fuel
- Flight Management System for optimized airport descent",290.0,23.0,6.534999999999999e-05,618.0,84.0,0.0001725,The provided document extracts do not contain information regarding what drove carbon intensity change as of FY2021.,0.0,"The model failed to extract the correct information despite the document explicitly listing the drivers (fuel efficient engines, additive manufacturing, etc.) under the relevant timeline. This is a complete failure in Faithfulness (hallucinating that info is missing) and Exact Match (0% overlap with ground truth). The answer is completely wrong.","{
  ""score"": 0.0,
  ""reason"": ""The model failed to extract the correct information despite the document explicitly listing the drivers (fuel efficient engines, additive manufacturing, etc.) under the relevant timeline. This is a complete failure in Faithfulness (hallucinating that info is missing) and Exact Match (0% overlap with ground truth). The answer is completely wrong.""
}",5101.597041997593,9026.651209016563
AT&T,2022,Q2,PE,none,0,What drove carbon intensity change as of the FY2022 for the company?,"AT&T's carbon intensity in the FY2023 has decreased compared to the 2015 baseline. The key factors behind this change are:
- Reducing the scope 1 & 2 emissions
- Delivering connectivity solutions that enable customer emissions savings
- Reducing the amount of american waste sent to landfill",524.0,23.0,0.00010044999999999999,832.0,118.0,0.00023689999999999998,The provided document extracts do not contain information regarding what drove carbon intensity change as of FY2022.,0.0,"The model failed to extract the relevant information, incorrectly claiming the documents do not contain the answer. While the documents explicitly list 2023 data (not FY2022), they detail the exact drivers mentioned in the ground truth: reducing Scope 1 & 2 emissions, delivering connectivity solutions for customer savings, and reducing waste to landfill. The model's refusal to answer constitutes a complete failure in faithfulness and exact match, resulting in a score of 0.","{
  ""score"": 0.000,
  ""reason"": ""The model failed to extract the relevant information, incorrectly claiming the documents do not contain the answer. While the documents explicitly list 2023 data (not FY2022), they detail the exact drivers mentioned in the ground truth: reducing Scope 1 & 2 emissions, delivering connectivity solutions for customer savings, and reducing waste to landfill. The model's refusal to answer constitutes a complete failure in faithfulness and exact match, resulting in a score of 0.""
}",5067.455709009664,14450.229959009448
Apple,2023,Q2,PE,none,0,What drove carbon intensity change as of the FY2023 for the company?,"Apple's carbon intensity in the FY2023 has decreased compared to the 2015 baseline. The key factors behind this change are:
- Sourcing recyled content
- Transitioning the supply chain to renewable electricity
- Increasing the use of recycled materiels",560.0,10.0,9.35e-05,845.0,169.0,0.00028729999999999994,Innovations in design and clean energy.,0.4,"Faithfulness: The answer is supported by doc2, which mentions 'Innovations in design and clean energy' drove reductions for the Apple Watch lineup. However, Precision and Exactness are poor. The question asks for the drivers of overall carbon intensity change for FY2023. Doc1 explicitly links the overall 55% emissions reduction (and implied intensity drop due to revenue growth) to 'transitioning our supply chain to renewable electricity and sourcing recycled content'. The model answer focuses on a specific product line (Apple Watch) rather than the company-wide drivers listed in the ground truth. It misses the critical 'recycled materials' factor and is too narrow to be considered an exact match for the company-wide trend.","{
  ""score"": 0.400,
  ""reason"": ""Faithfulness: The answer is supported by doc2, which mentions 'Innovations in design and clean energy' drove reductions for the Apple Watch lineup. However, Precision and Exactness are poor. The question asks for the drivers of overall carbon intensity change for FY2023. Doc1 explicitly links the overall 55% emissions reduction (and implied intensity drop due to revenue growth) to 'transitioning our supply chain to renewable electricity and sourcing recycled content'. The model answer focuses on a specific product line (Apple Watch) rather than the company-wide drivers listed in the ground truth. It misses the critical 'recycled materials' factor and is too narrow to be considered an exact match for the company-wide trend.""
}",4043.925791978836,20035.771750001004
Bank of America,2023,Q3,LR,none,0,Does the company have a decarbonization trajectory compatible with a 1.5 or 2 degree scenario?,"yes, the organization’s objective is to reach Net Zero by 2050 or sooner, in line with science-based pathways to limit warming to 1.5°C",220.0,85.0,0.00011375,587.0,119.0,0.00020109999999999998,"The document extract explicitly states the organization's commitment to reaching Net Zero by 2050 or sooner, specifically noting that this objective is ""in line with science-based pathways to limit warming to 1.5°C."" It further confirms the existence of clearly defined interim and long-term targets to support this trajectory.

Yes, the company has a decarbonization trajectory compatible with a 1.5°C scenario.",1.0,"The model answer demonstrates perfect logical coherence by directly linking the company's Net Zero commitment to the 1.5°C pathway as stated in the text. It is factually correct, accurately quoting the document extract regarding the 2050 target and science-based pathways. The reasoning is complete, covering both the long-term goal and the existence of interim targets. There are no hallucinations; all evidence is drawn strictly from the provided extract. The final conclusion matches the ground truth exactly.","{
  ""score"": 1.000,
  ""reason"": ""The model answer demonstrates perfect logical coherence by directly linking the company's Net Zero commitment to the 1.5°C pathway as stated in the text. It is factually correct, accurately quoting the document extract regarding the 2050 target and science-based pathways. The reasoning is complete, covering both the long-term goal and the existence of interim targets. There are no hallucinations; all evidence is drawn strictly from the provided extract. The final conclusion matches the ground truth exactly.""
}",10897.091999999247,16442.026667005848
BNP Paribas,2023,Q4,LR,none,0,Does the company operate in a high emitting sector as of FY2023?,Not available in the retrieved information.,,,,,,,No document extract available.,0.0,Empty extract — skipped.,,0.0,0.0
AT&T,2023,Q6,PE,none,0,"Has the company identified significant decarbonization levers ? If yes, detail them.","Yes, decarbonization levers:

Renewable Energy Expansion.

Energy Efficiency in Networks.

Machine learning for anomaly detection to optimize network energy use.
Open-source tools to reduce data traffic and energy consumption.

Fleet Electrification.",581.0,98.0,0.00018025,948.0,130.0,0.0002657,"Yes, the company has identified significant decarbonization levers:
- Increasing renewable energy.
- Making the network more energy efficient by decommissioning the legacy copper network in favor of fiber and wireless (reducing energy consumption by over 70% in converted neighborhoods).
- Video optimization to reduce network traffic and energy usage.
- Combining IoT with machine-learning technology.
- Converting part of the fleet to zero-emission electric vehicles (EVs).",0.95,"The model correctly identifies 'Yes' and lists all five key decarbonization levers found in the text (Renewable Energy, Network Efficiency/Decommissioning, Video Optimization, IoT/ML, and Fleet Electrification). The answer is faithful to the extracts. Precision is high, though the model includes specific details (e.g., 'over 70%', 'copper network') which, while accurate, make the answer slightly less concise than the ground truth's bullet points. No formatting errors or hallucinations are present.","{
  ""score"": 0.950,
  ""reason"": ""The model correctly identifies 'Yes' and lists all five key decarbonization levers found in the text (Renewable Energy, Network Efficiency/Decommissioning, Video Optimization, IoT/ML, and Fleet Electrification). The answer is faithful to the extracts. Precision is high, though the model includes specific details (e.g., 'over 70%', 'copper network') which, while accurate, make the answer slightly less concise than the ground truth's bullet points. No formatting errors or hallucinations are present.""
}",12055.962708982406,17061.40241699177
