run_id,index,document,strategy,reason,split_points,input_tokens,output_tokens,latency_ms,model
CAC40__axa_climate_and_biodiversity_report_2024_va__20260624_141858,CAC40,axa_climate_and_biodiversity_report_2024_va,section,"The document is a structured corporate report with a clear Table of Contents defining major thematic sections (Vision, Implementation Plan, Engagement, Accountability, Appendix). Splitting by section ensures logical coherence and preserves the context of each strategic pillar.","[""1. AXA's vision and strategic approach"", ""2. AXA's implementation plan"", ""3. AXA's engagement strategy"", ""4. Accountability"", ""Appendix""]",3300,121,8741.990205016918,UTM2
CAC40__bnp_paribas_2023_climate_report__20260624_141858,CAC40,bnp_paribas_2023_climate_report,section,"The document is a structured climate report with a clear Table of Contents defining four major thematic sections (Strategy, Governance, Risk Management, Metrics). Splitting by section ensures logical grouping of related content, such as separating strategic commitments from risk methodologies and quantitative metrics.","[""STRATEGY: A RESILIENT BUSINESS MODEL TO FACE CLIMATE CHANGE"", ""GOVERNANCE AND IMPLEMENTATION: A GROWING MOBILISATION TO ACCELERATE THE ENERGY TRANSITION"", ""RISK MANAGEMENT"", ""METRICS, TARGETS & ALIGNMENT PROGRESS: MONITORING THE ACCELERATION TO NET ZERO BY 2050""]",3170,161,11952.987277996726,UTM2
CAC40__015157_LVMH_RSE_committed_to_positive_impact_2023_GB_SR_MEL_080724 (6)_2024-09-19_10_56__20260624_141858,CAC40,015157_LVMH_RSE_committed_to_positive_impact_2023_GB_SR_MEL_080724 (6)_2024-09-19_10_56,section,"The document is a structured CSR report with a clear Table of Contents and distinct thematic sections (Commitments, Chairman's Message, Social, Environmental, Cultural). Splitting by section ensures logical coherence of topics.","[""Commitments and actions"", ""Chairman's message"", ""LVMH Group businesses and key figures"", ""Our social commitment"", ""Our environmental commitment"", ""Our commitment to the arts and culture"", ""Our ESG Performance""]",3379,129,9313.252065971028,UTM2
CAC40__Orange 2023 IAR - On track__20260624_141858,CAC40,Orange 2023 IAR - On track,section,"The document is an Integrated Annual Report with a clear Table of Contents on Page 2 defining distinct narrative sections (Chairman's message, CEO interview, strategic trends, operational contributions, and financial impact). Splitting by these sections preserves the logical flow of the report better than arbitrary page breaks.","[""Message from Jacques Aschenbroich"", ""Interview with Christel Heydemann"", ""Trends on the move"", ""Onwards with our ambition"", ""Contributions on the ground"", ""Impact on target""]",2894,126,9312.797066988423,UTM2
CAC40__Sanofi-GHU-Report-2024__20260624_141859,CAC40,Sanofi-GHU-Report-2024,section,"The document follows a clear thematic structure with distinct sections for strategic pillars (Access to Medicine, Health Systems Strengthening, Impact Investing), a Theory of Change, and specific case studies. Splitting by section preserves the logical flow and context of each initiative better than page-by-page splitting.","[""Making an impact"", ""Global healthcare by the numbers"", ""Theory of Change"", ""Case studies"", ""Treatments & Value Chain"", ""Patient Care"", ""HCP Empowerment""]",2872,139,10326.837438973598,UTM2
CAC40__Engie RI_Version EN_2105__20260624_141858,CAC40,Engie RI_Version EN_2105,section,"The document is a structured corporate report containing distinct thematic sections (Summary, Strategic Ambition, Governance, Impact, and detailed Notebooks) rather than simple page-by-page content. Splitting by section preserves the logical flow of the report's narrative and data clusters.","[""SUMMARY"", ""OUR AMBITION"", ""OUR GOVERNANCE"", ""OUR IMPACT"", ""CLIMATE NOTEBOOK / TCFD REPORT"", ""NATURE NOTEBOOK"", ""SOCIAL AND SOCIETAL NOTEBOOK"", ""LOW CARBON TECHNOLOGIES NOTEBOOK""]",3741,155,11257.77092797216,UTM2
CAC40__SUEZ_SD_Progress report 2023__20260624_141943,CAC40,SUEZ_SD_Progress report 2023,section,"The document is structured around three main sustainability pillars (Climate, Nature, Social) and includes an editorial introduction and governance section. Splitting by these thematic sections ensures coherent chunks of information.","[""Editorial"", ""Our Commitments"", ""Climate"", ""Nature"", ""Social"", ""Governance""]",2958,83,4069.118681945838,UTM2
DAX__2024-sustainability-report__20260624_141952,DAX,2024-sustainability-report,section,"The document is a structured sustainability report with a clear Table of Contents listing major thematic chapters (e.g., 'Siemens at a glance', 'Our sustainability management', 'Governance', 'Environment', 'Social'). Splitting by these logical sections ensures coherent context for each topic, which is superior to arbitrary page breaks or fixed chunks.","[""Foreword"", ""1 Siemens at a glance"", ""2 Our sustainability management"", ""3 Governance"", ""4 Environment"", ""5 Social"", ""6 Our sustainability indicators"", ""7 Annex""]",3027,150,7849.9906359938905,UTM2
CAC40__totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf (1)__20260624_141946,CAC40,totalenergies_sustainability-climate-2024-progress-report_2024_en_pdf (1),section,"The document is a structured corporate report with a clear Table of Contents on Page 3 defining major thematic sections (e.g., 'Energy & Climate', 'Acting for the Well-Being of Employees'). Splitting by section ensures logical grouping of related content rather than arbitrary page breaks.","[""Message from Patrick Pouyann\u00e9, Chairman and CEO"", ""Message from Jacques Aschenbroich, Lead Independent Director"", ""Governance"", ""Our Climate-Related Risks"", ""Our Ambition and Progress"", ""ENERGY & CLIMATE: OUR ORDERLY ENERGY TRANSITION"", ""OUR ACTIONS FOR A JUST TRANSITION"", ""Acting for the Well-Being of Employees"", ""Caring for the Environment"", ""Having a Positive Impact for Stakeholders"", ""Performance Indicators""]",3232,207,10925.707416026853,UTM2
CAC40__veolia-2024-climate-report__20260624_141948,CAC40,veolia-2024-climate-report,section,"The document is a structured climate report with clearly defined thematic sections (e.g., 'OUR CO2 PICTURE', 'ACCELERATING OUR DECARBONIZATION TRAJECTORY', 'A ROBUST GOVERNANCE FRAMEWORK') as indicated by the Table of Contents and section headers. Splitting by section preserves the logical flow of the narrative better than page-based or fixed splits.","[""OUR CO2 PICTURE"", ""ACCELERATING OUR DECARBONIZATION TRAJECTORY"", ""DECARBONIZING OUR CUSTOMERS' TRAJECTORIES"", ""ADAPTING TO CLIMATE CHANGE"", ""A ROBUST GOVERNANCE FRAMEWORK""]",3336,169,8563.7350360048,UTM2
