query_id,perturbation_type,perturbation_level,ground_truth,llm_guess,llm_latency,prompt_tokens,completion_tokens,cost_usd
12914,char,1,C,C,2275.761875003809,1048,2,0.0001591
12910,char,1,A,A,3397.777042002417,1450,2,0.0002194
16717,numeric,1,D,D,3396.9060409872327,1239,2,0.00018775
16714,numeric,1,A,A,3401.9843749993015,1144,2,0.0001735
16532,label,1,A,D,3411.7731250007637,798,2,0.00012159999999999999
16715,numeric,1,B,B,3411.9973329943605,633,2,9.685000000000001e-05
16552,label,1,C,C,3410.9641660179477,1028,2,0.0001561
12920,char,1,D,D,3418.8963329943363,1328,2,0.00020109999999999998
16606,label,1,B,B,4616.733625007328,914,2,0.000139
16722,numeric,1,A,B,4618.949875002727,852,2,0.00012969999999999998
16676,label,1,C,B,4618.023291986901,648,2,9.910000000000001e-05
16716,numeric,1,C,C,4623.359958000947,724,2,0.0001105
16563,label,1,A,C,4622.089542011963,825,2,0.00012565000000000002
16720,numeric,1,C,C,4621.6039169812575,979,2,0.00014875
12912,char,1,B,B,4625.015458994312,1279,2,0.00019375
16718,numeric,1,A,A,4623.536792001687,801,2,0.00012205
12926,char,1,A,A,4633.132792019751,1633,2,0.00024685
16536,label,1,B,B,5851.85774997808,870,2,0.0001324
15245,char,1,A,B,5847.61720901588,963,2,0.00014635
16663,label,1,A,B,5853.355582978111,875,2,0.00013315
15258,char,1,B,C,5853.066665993538,535,2,8.215e-05
16719,numeric,1,B,B,5856.116041977657,620,2,9.49e-05
17412,numeric,1,B,C,5854.339832992991,748,2,0.00011410000000000001
16562,label,1,D,B,5858.046042005299,1319,2,0.00019975
12933,char,1,D,D,5856.1473340087105,1418,2,0.00021459999999999998
12929,char,1,B,B,7173.823499993887,1079,2,0.00016375
16650,label,1,D,D,7173.422332998598,1216,2,0.0001843
16670,label,1,B,B,7172.846457979176,1021,2,0.00015505
16721,numeric,1,D,D,7180.340833001537,1208,2,0.0001831
17419,numeric,1,D,C,7178.75362499035,1070,2,0.00016240000000000002
12931,char,1,C,C,7181.748582981527,1995,2,0.00030115
16638,label,1,C,C,7182.482166012051,986,2,0.0001498
16691,label,1,B,C,4987.429083004827,833,2,0.00012685
17422,numeric,1,A,A,4991.579499997897,1100,2,0.00016690000000000002
15425,char,1,D,A,6130.728416988859,926,2,0.0001408
15435,char,1,A,A,4996.15479199565,825,2,0.00012565000000000002
16689,label,1,A,A,4997.532709006919,767,2,0.00011695
17425,numeric,1,C,D,4990.295083000092,898,2,0.00013659999999999999
17417,numeric,1,C,D,8408.111291006207,948,2,0.0001441
16683,label,1,D,B,8408.219332981389,1525,2,0.00023065
15263,char,1,C,C,8409.562291984912,750,2,0.0001144
15454,char,1,B,D,6011.537207989022,1006,2,0.0001528
15607,char,1,A,A,4795.5100830004085,1047,2,0.00015895
16695,label,1,C,A,4814.215416001389,744,2,0.0001135
17448,numeric,1,D,C,4808.242875005817,601,2,9.205e-05
17478,numeric,1,B,B,4801.491542020813,587,2,8.995e-05
16697,label,1,D,D,4808.3525839901995,645,2,9.865e-05
15466,char,1,C,C,4811.721583013423,972,2,0.00014769999999999999
17423,numeric,1,B,B,6022.789625014411,891,2,0.00013555000000000002
17452,numeric,1,A,D,4808.099582995055,882,2,0.00013419999999999998
15592,char,1,D,D,4809.764499979792,799,2,0.00012175
17492,numeric,1,D,B,4589.81729199877,938,2,0.0001426
16700,label,1,C,C,4593.274250015384,896,2,0.0001363
16698,label,1,A,A,5823.7339580082335,575,2,8.815e-05
16699,label,1,B,B,4609.545540995896,1141,2,0.00017305
16701,label,1,D,D,4597.963250009343,729,2,0.00011125
15610,char,1,C,C,4601.21695799171,789,2,0.00012025
17490,numeric,1,C,C,4605.135541991331,890,2,0.0001354
15609,char,1,B,B,4611.000375007279,1053,2,0.00015984999999999998
15612,char,1,D,D,4599.715334014036,1073,2,0.00016285
17514,numeric,1,A,A,4503.076749999309,812,2,0.0001237
15613,char,1,A,A,4500.775958003942,1062,2,0.0001612
15615,char,1,B,B,4498.257874976844,759,2,0.00011575
16703,label,1,B,B,4500.019041995984,825,2,0.00012565000000000002
16702,label,1,A,A,4508.169500011718,680,2,0.0001039
17543,numeric,1,B,B,4502.999209013069,835,2,0.00012715
17545,numeric,1,C,C,4499.452832998941,783,2,0.00011935
15621,char,1,D,D,4492.5340409972705,810,2,0.00012340000000000002
17598,numeric,1,A,C,4491.926541988505,701,2,0.00010705
16704,label,1,C,C,4506.161584024085,1062,2,0.0001612
15620,char,1,C,C,4512.057625019224,1035,2,0.00015715
15622,char,1,A,A,4497.870666993549,549,2,8.425e-05
16705,label,1,D,D,4503.35166597506,799,2,0.00012175
17567,numeric,1,D,B,4506.132041016826,985,2,0.00014965
16706,label,1,A,A,4500.856541009853,863,2,0.00013135
